source_csv_row,study_id,es_id,offspring_sex,measurement_variable,crosscheck_status,crosscheck_package,crosscheck_notes,c_se_reported,c_se_analysis,c_se_derivation,c_se_source,ex_se_reported,ex_se_analysis,ex_se_derivation,ex_se_source
134,abramova_2020_genpath,es133,female,Rearing frequency,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,2.286889,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,2.22715,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
135,abramova_2020_genpath,es134,male,Center entries (crossing),Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,1.0596,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,0.326803,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
136,abramova_2020_genpath,es135,female,Center entries (crossing),Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,0.647816,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,0.232725,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
137,abramova_2020_genpath,es136,male,Total grooming time,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,3.898315,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,4.581983,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
138,abramova_2020_genpath,es137,female,Total grooming time,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,4.774845,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,3.074025,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
139,abramova_2020_genpath,es138,male,Total freezing time,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,5.49871,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,10.044119,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
140,abramova_2020_genpath,es139,female,Total freezing time,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,7.584251,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,7.162475,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
141,abramova_2020_genpath,es140,male,Grooming frequency,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,1.308466,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,0.499002,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
142,abramova_2020_genpath,es141,female,Grooming frequency,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,0.639118,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,0.341575,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
143,abramova_2020_genpath,es142,male,Total time in dark,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,3.82068,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,9.054465,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
144,abramova_2020_genpath,es143,female,Total time in dark,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,5.562291,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,10.968425,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
145,abramova_2020_genpath,es144,male,Total time in light,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,3.644701,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,8.912044,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
146,abramova_2020_genpath,es145,female,Total time in light,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,5.168479,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,10.4604,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
147,abramova_2020_genpath,es146,male,Center entries (crossing),Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,0.467204,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,0.719723,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
148,abramova_2020_genpath,es147,female,Center entries (crossing),Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,0.616432,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,0.809925,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
149,abramova_2020_genpath,es148,male,Head-out inspections,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,0.280045,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,0.50421,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
150,abramova_2020_genpath,es149,female,Head-out inspections,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,0.441376,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,0.478725,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
151,abramova_2020_genpath,es150,male,Overhangs,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,0.682381,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,1.242263,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
152,abramova_2020_genpath,es151,female,Overhangs,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,1.164723,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,1.714825,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
153,abramova_2020_genpath,es152,male,Total grooming time,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,8.57418,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,4.762694,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
154,abramova_2020_genpath,es153,female,Total grooming time,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,10.421458,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,5.518025,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
155,abramova_2020_genpath,es154,male,Rearing frequency,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,0.864128,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,1.231458,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
156,abramova_2020_genpath,es155,female,Rearing frequency,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,1.295561,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,1.6695,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
157,abramova_2020_genpath,es156,male,Total freezing time,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,8.108117,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,2.588911,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
158,abramova_2020_genpath,es157,female,Total freezing time,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,7.265923,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,4.602875,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
159,abramova_2020_genpath,es158,male,Grooming frequency,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,0.531133,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,0.578678,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
160,abramova_2020_genpath,es159,female,Grooming frequency,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,0.53099,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,0.4652,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
161,abramova_2020_genpath,es160,male,Total immobility time,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,13.930026,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,16.378815,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
162,abramova_2020_genpath,es161,female,Total immobility time,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,13.264451,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,18.9553,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
163,abramova_2020_genpath,es162,male,Sucrose preference index,Corrected transcription,5 – Abramova 2020 derived SEs,Use the SD in the matching author-data descriptive row before deriving SE. | The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,12.045387,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,6.63828,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
164,abramova_2020_genpath,es163,female,Sucrose preference index,Corrected derived value,5 – Abramova 2020 derived SEs,The analysis SE is recalculated as SD/sqrt(n); no author-reported statistic is overwritten.,,6.411963,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",,8.4909,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all"
165,abramova_2023_biopsy,es164,male,Sections crossed,Corrected transcription,7 – Abramova 2023 identifiers and units,Use the stable path to the saved extraction/calculation workbook.,2.7,2.7,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 2",3.3,3.3,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 2"
166,abramova_2023_biopsy,es165,female,Sections crossed,Corrected transcription,7 – Abramova 2023 identifiers and units,Use the stable path to the saved extraction/calculation workbook.,3.5,3.5,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 3",5.1,5.1,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 3"
167,abramova_2023_biopsy,es166,male,Rearing frequency,Corrected transcription,7 – Abramova 2023 identifiers and units,Use the stable path to the saved extraction/calculation workbook.,1.7,1.7,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 4",1.2,1.2,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 4"
168,abramova_2023_biopsy,es167,female,Rearing frequency,Corrected transcription,7 – Abramova 2023 identifiers and units,Use the stable path to the saved extraction/calculation workbook.,2.5,2.5,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 5",1.7,1.7,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 5"
169,abramova_2023_biopsy,es168,male,Center entries (crossing),Analysis decision required,7 – Abramova 2023 identifiers and units,Use the stable path to the saved extraction/calculation workbook. | Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 6",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 6"
170,abramova_2023_biopsy,es169,female,Center entries (crossing),Analysis decision required,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 7",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 7"
171,abramova_2023_biopsy,es170,male,Total freezing time,Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,4.9,4.9,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 8",19.4,19.4,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 8"
172,abramova_2023_biopsy,es171,female,Total freezing time,Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,3.0,3.0,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 9",20.1,20.1,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 9"
173,abramova_2023_biopsy,es172,male,Total grooming time,Analysis decision required,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 10",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 10"
174,abramova_2023_biopsy,es173,female,Total grooming time,Analysis decision required,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 11",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 11"
175,abramova_2023_biopsy,es174,male,Grooming frequency,Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,0.6,0.6,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 12",0.5,0.5,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 12"
176,abramova_2023_biopsy,es175,female,Grooming frequency,Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,0.6,0.6,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 13",0.6,0.6,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 13"
177,abramova_2023_biopsy,es176,male,Mean grooming duration,Analysis decision required,7 – Abramova 2023 identifiers and units,"Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Mean grooming duration is a duration, not a percentage. | The source table reports mean grooming duration in seconds. | Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 14",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 14"
178,abramova_2023_biopsy,es177,female,Mean grooming duration,Analysis decision required,7 – Abramova 2023 identifiers and units,"Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Mean grooming duration is a duration, not a percentage. | The source table reports mean grooming duration in seconds. | Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 15",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 15"
179,abramova_2023_biopsy,es178,male,Total time in dark,Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,7.0,7.0,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 16",13.0,13.0,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 16"
180,abramova_2023_biopsy,es179,female,Total time in dark,Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,5.0,5.0,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 17",11.0,11.0,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 17"
181,abramova_2023_biopsy,es180,male,Total time in light,Analysis decision required,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 18",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 18"
182,abramova_2023_biopsy,es181,female,Total time in light,Analysis decision required,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook. | Choose and implement the central-tendency/dispersion conversion in the R data-wrangling workflow.,,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 19",,,Not calculated here: median (Q1; Q3) reported; estimation is deferred to reproducible R data wrangling,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 19"
183,abramova_2023_biopsy,es182,male,Center entries (crossing),Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,1.0,1.0,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 20",0.8,0.8,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 20"
184,abramova_2023_biopsy,es183,female,Center entries (crossing),Corrected transcription,7 – Abramova 2023 identifiers and units,Make the control identifier agree with the sex in the paired source row. | Make the exposed identifier agree with the sex in the paired source row. | Make the comparison identifier agree with the sex in the paired source row. | Use the stable path to the saved extraction/calculation workbook.,0.62,0.62,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 21",0.7,0.7,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 21"
